station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported
7226,12,"{'mechanical': 12, 'ebike': 0}",2,5,0,1785181021.0
7227,10,"{'mechanical': 10, 'ebike': 0}",1,20,0,1785181035.0
7228,13,"{'mechanical': 13, 'ebike': 0}",0,6,0,1785180979.0
7229,0,"{'mechanical': 0, 'ebike': 0}",3,8,0,1785181033.0
7230,3,"{'mechanical': 3, 'ebike': 0}",0,16,0,1785180958.0
7231,2,"{'mechanical': 0, 'ebike': 2}",0,16,0,1785180973.0
7232,0,"{'mechanical': 0, 'ebike': 0}",3,13,0,1785180996.0
7233,6,"{'mechanical': 6, 'ebike': 0}",2,8,0,1785181051.0
7234,1,"{'mechanical': 0, 'ebike': 1}",0,18,0,1785180947.0
7235,7,"{'mechanical': 5, 'ebike': 2}",0,9,0,1785180978.0
7236,1,"{'mechanical': 1, 'ebike': 0}",0,23,0,1785180929.0
7237,2,"{'mechanical': 0, 'ebike': 2}",0,13,0,1785180953.0
7238,5,"{'mechanical': 3, 'ebike': 2}",2,9,0,1785180968.0
7239,16,"{'mechanical': 15, 'ebike': 1}",0,25,1,1785181043.0
7240,13,"{'mechanical': 11, 'ebike': 2}",2,19,0,1785180947.0
7241,3,"{'mechanical': 2, 'ebike': 1}",0,8,0,1785180976.0
7242,5,"{'mechanical': 5, 'ebike': 0}",0,30,0,1785180972.0
7244,15,"{'mechanical': 13, 'ebike': 2}",1,0,0,1785180930.0
7246,3,"{'mechanical': 2, 'ebike': 1}",0,16,0,1785181035.0
7247,1,"{'mechanical': 1, 'ebike': 0}",0,11,0,1785180979.0
7248,19,"{'mechanical': 15, 'ebike': 4}",0,1,0,1785180930.0
7249,28,"{'mechanical': 0, 'ebike': 28}",14,9,0,1785180954.0
7250,12,"{'mechanical': 5, 'ebike': 7}",0,4,0,1785180989.0
7252,3,"{'mechanical': 3, 'ebike': 0}",0,15,0,1785181019.0
7253,12,"{'mechanical': 10, 'ebike': 2}",0,0,0,1785180929.0
7256,8,"{'mechanical': 8, 'ebike': 0}",1,3,0,1785180987.0
7257,2,"{'mechanical': 2, 'ebike': 0}",0,17,0,1785180943.0
7258,11,"{'mechanical': 11, 'ebike': 0}",0,4,0,1785181051.0
7259,15,"{'mechanical': 14, 'ebike': 1}",2,2,0,1785180929.0
7260,13,"{'mechanical': 13, 'ebike': 0}",0,2,0,1785181024.0
7261,4,"{'mechanical': 4, 'ebike': 0}",2,21,0,1785181001.0
7262,0,"{'mechanical': 0, 'ebike': 0}",0,16,0,1785181013.0
7264,13,"{'mechanical': 8, 'ebike': 5}",0,7,0,1785180947.0
7265,3,"{'mechanical': 2, 'ebike': 1}",0,8,1,1785180943.0
7266,4,"{'mechanical': 4, 'ebike': 0}",0,8,0,1785181036.0
7267,3,"{'mechanical': 3, 'ebike': 0}",1,10,1,1785180945.0
7268,14,"{'mechanical': 14, 'ebike': 0}",0,2,0,1785181031.0
7269,12,"{'mechanical': 11, 'ebike': 1}",3,5,0,1785181007.0
7270,5,"{'mechanical': 5, 'ebike': 0}",0,15,0,1785180987.0
7271,17,"{'mechanical': 13, 'ebike': 4}",0,1,0,1785180950.0
7272,12,"{'mechanical': 9, 'ebike': 3}",1,14,0,1785181017.0
7273,4,"{'mechanical': 3, 'ebike': 1}",0,16,0,1785180974.0
7276,4,"{'mechanical': 2, 'ebike': 2}",2,5,0,1785181012.0
7277,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1785180961.0
7278,13,"{'mechanical': 13, 'ebike': 0}",1,2,0,1785181041.0
7279,4,"{'mechanical': 1, 'ebike': 3}",2,10,0,1785180979.0
7281,1,"{'mechanical': 1, 'ebike': 0}",0,23,0,1785181036.0
7282,21,"{'mechanical': 20, 'ebike': 1}",0,2,0,1785180941.0
7283,17,"{'mechanical': 17, 'ebike': 0}",1,1,0,1785180954.0
7284,19,"{'mechanical': 18, 'ebike': 1}",0,5,0,1785181006.0
7285,25,"{'mechanical': 8, 'ebike': 17}",0,11,0,1785180932.0
7286,16,"{'mechanical': 12, 'ebike': 4}",1,1,0,1785181033.0
7287,9,"{'mechanical': 8, 'ebike': 1}",0,7,0,1785181020.0
7288,8,"{'mechanical': 8, 'ebike': 0}",0,23,0,1785180989.0
7289,18,"{'mechanical': 18, 'ebike': 0}",4,1,0,1785180996.0
7291,2,"{'mechanical': 2, 'ebike': 0}",1,12,0,1785180991.0
7292,12,"{'mechanical': 10, 'ebike': 2}",0,12,0,1785181055.0
7296,1,"{'mechanical': 0, 'ebike': 1}",0,18,0,1785181038.0
7297,0,"{'mechanical': 0, 'ebike': 0}",0,19,0,1785180971.0
7298,2,"{'mechanical': 0, 'ebike': 2}",1,22,0,1785180984.0
7299,3,"{'mechanical': 3, 'ebike': 0}",1,11,0,1785181027.0
7301,1,"{'mechanical': 1, 'ebike': 0}",1,13,0,1785180985.0
7302,0,"{'mechanical': 0, 'ebike': 0}",0,11,0,1785181044.0
7303,32,"{'mechanical': 30, 'ebike': 2}",1,10,0,1785181052.0
7309,22,"{'mechanical': 22, 'ebike': 0}",1,0,0,1785181040.0
7311,3,"{'mechanical': 1, 'ebike': 2}",2,14,0,1785181022.0
7312,2,"{'mechanical': 2, 'ebike': 0}",0,9,0,1785180955.0
7313,14,"{'mechanical': 14, 'ebike': 0}",1,14,0,1785180989.0
7314,10,"{'mechanical': 10, 'ebike': 0}",0,5,0,1785180969.0
7315,9,"{'mechanical': 9, 'ebike': 0}",2,0,0,1785180952.0
7316,9,"{'mechanical': 8, 'ebike': 1}",2,4,0,1785181015.0
7317,32,"{'mechanical': 32, 'ebike': 0}",2,5,0,1785180956.0
7318,21,"{'mechanical': 21, 'ebike': 0}",1,5,0,1785180941.0
7319,10,"{'mechanical': 10, 'ebike': 0}",0,1,0,1785180951.0
7320,17,"{'mechanical': 17, 'ebike': 0}",1,1,0,1785180938.0
7321,15,"{'mechanical': 15, 'ebike': 0}",1,3,0,1785180939.0
7322,5,"{'mechanical': 5, 'ebike': 0}",0,14,0,1785180993.0
7323,12,"{'mechanical': 10, 'ebike': 2}",2,5,0,1785181025.0
7324,12,"{'mechanical': 11, 'ebike': 1}",1,10,0,1785180997.0
7326,4,"{'mechanical': 3, 'ebike': 1}",0,15,0,1785181053.0
7329,17,"{'mechanical': 17, 'ebike': 0}",1,1,0,1785181008.0
7331,1,"{'mechanical': 1, 'ebike': 0}",0,18,0,1785181029.0
7332,10,"{'mechanical': 1, 'ebike': 9}",0,13,0,1785181011.0
7333,14,"{'mechanical': 13, 'ebike': 1}",1,4,0,1785181051.0
7334,11,"{'mechanical': 11, 'ebike': 0}",0,4,0,1785181004.0
7335,17,"{'mechanical': 12, 'ebike': 5}",0,2,0,1785180937.0
7336,9,"{'mechanical': 9, 'ebike': 0}",4,6,0,1785180955.0
7337,16,"{'mechanical': 15, 'ebike': 1}",0,7,0,1785181041.0
7338,14,"{'mechanical': 13, 'ebike': 1}",0,5,0,1785180993.0
7339,4,"{'mechanical': 2, 'ebike': 2}",2,9,0,1785180944.0
7340,6,"{'mechanical': 6, 'ebike': 0}",0,9,0,1785181053.0
7341,9,"{'mechanical': 9, 'ebike': 0}",0,4,1,1785181009.0
7342,9,"{'mechanical': 8, 'ebike': 1}",0,1,0,1785180945.0
7343,34,"{'mechanical': 32, 'ebike': 2}",0,8,0,1785181054.0
7344,17,"{'mechanical': 17, 'ebike': 0}",1,31,0,1785180941.0
